,0
389,RxCUI_483440
390,RxCUI_1369718
391,RxCUI_311296
392,RxCUI_432400
393,RxCUI_1738495;1738519;1738532;
394,RxCUI_313932
395,RxCUI_857224
396,RxCUI_197528
397,RxCUI_866111
398,RxCUI_330341
399,RxCUI_314076
400,RxCUI_1876740;312744;
401,RxCUI_1812015;1812055;198036;
402,RxCUI_1664461
403,RxCUI_197541
404,RxCUI_205323
405,RxCUI_484139
406,RxCUI_7824
407,RxCUI_200328
408,RxCUI_1601392
409,RxCUI_1592750
410,RxCUI_197381
411,RxCUI_1430455
412,RxCUI_1425116
413,RxCUI_308192
414,RxCUI_897770
415,RxCUI_1655928
416,RxCUI_643109
417,RxCUI_656659
418,RxCUI_308051
419,RxCUI_235824
420,RxCUI_1535462
421,RxCUI_1310525
422,RxCUI_312137
423,RxCUI_617310
424,RxCUI_323939
425,RxCUI_840781
426,RxCUI_1871456
427,RxCUI_197451
428,RxCUI_197687
429,RxCUI_6057
430,RxCUI_242462
431,RxCUI_1485763
432,RxCUI_597747
433,RxCUI_1649493
434,RxCUI_1790093
435,RxCUI_1148504
436,RxCUI_3002
437,RxCUI_992475
438,RxCUI_898723
439,RxCUI_43611
440,RxCUI_1300791
441,RxCUI_1492732
442,RxCUI_283641
443,RxCUI_23043
444,RxCUI_1114511
445,RxCUI_310410
446,RxCUI_81965
447,RxCUI_5956
448,RxCUI_197905
449,RxCUI_140480
450,RxCUI_1313885
451,RxCUI_205305
452,RxCUI_11199
453,RxCUI_1424174
454,RxCUI_330548
455,RxCUI_797534
456,RxCUI_692876
457,RxCUI_1871466
458,RxCUI_995274
459,RxCUI_282401;751139;857238;
460,RxCUI_198427
461,RxCUI_316759
462,RxCUI_311197
463,RxCUI_905395
464,RxCUI_333182
465,RxCUI_389201
466,RxCUI_830882
467,RxCUI_198243
468,RxCUI_197319
469,RxCUI_198335
470,RxCUI_166283
471,RxCUI_7597
472,RxCUI_197583
473,RxCUI_855302
474,RxCUI_855338
475,RxCUI_141952
476,RxCUI_311290
477,RxCUI_308979
478,RxCUI_197441;308973;
479,RxCUI_1490034
480,RxCUI_314234
481,RxCUI_403908
482,RxCUI_397405
483,RxCUI_866436
484,RxCUI_311681
485,RxCUI_1736783
486,RxCUI_862018
487,RxCUI_310346
488,RxCUI_10761
489,RxCUI_10759
490,RxCUI_25486
491,RxCUI_905188
492,RxCUI_197890
493,RxCUI_665042
494,RxCUI_858054
495,RxCUI_854919
496,RxCUI_855344
497,RxCUI_1147223
498,RxCUI_1361495
499,RxCUI_1312402
500,RxCUI_1806906
501,RxCUI_360110
502,RxCUI_309314
503,RxCUI_197388
504,RxCUI_251857
505,RxCUI_616749
506,RxCUI_150985
507,RxCUI_197919
508,RxCUI_854842
509,RxCUI_1871468
510,RxCUI_866514
511,RxCUI_312635
512,RxCUI_21245
513,RxCUI_1091392
514,RxCUI_1091150
515,RxCUI_197512
516,RxCUI_312036
517,RxCUI_349420
518,RxCUI_330414
519,RxCUI_1553672;61148;
520,RxCUI_313565
521,RxCUI_312441
522,RxCUI_483438
523,RxCUI_351260
524,RxCUI_1593072
525,RxCUI_1307633
526,RxCUI_810071
527,RxCUI_316056
528,RxCUI_1544465
529,RxCUI_403957
530,RxCUI_1439810
531,RxCUI_1594680
532,RxCUI_861430
533,RxCUI_403978
534,RxCUI_242679
535,RxCUI_349491
536,RxCUI_1547112
537,RxCUI_360176
538,RxCUI_360177
539,RxCUI_312840
540,RxCUI_197987
541,RxCUI_52582
542,RxCUI_349434
543,RxCUI_3041
544,RxCUI_10627
545,RxCUI_1119400
546,RxCUI_1011706
547,RxCUI_485023
548,RxCUI_1664434
549,RxCUI_1424918
550,RxCUI_1488574
551,RxCUI_349553
552,RxCUI_1658335
553,RxCUI_477372
554,RxCUI_1115909
555,RxCUI_8782
556,RxCUI_1223
557,RxCUI_617312
558,RxCUI_349545
559,RxCUI_1806939
560,RxCUI_616487
561,RxCUI_1876731;861007;
562,RxCUI_620591
563,RxCUI_979485
564,RxCUI_351172
565,RxCUI_1100065
566,RxCUI_897702
567,RxCUI_4337
568,RxCUI_897710
569,RxCUI_351133
570,RxCUI_435
571,RxCUI_809996
572,RxCUI_51428
573,RxCUI_855812
574,RxCUI_1659921
575,RxCUI_1726496
576,RxCUI_1740870
577,RxCUI_1235247
578,RxCUI_1040031
579,RxCUI_1431235
580,RxCUI_1040041
581,RxCUI_1439837
582,RxCUI_249289;312829;
583,RxCUI_312832
584,RxCUI_197589
585,RxCUI_1876730;197590;
586,RxCUI_857005
587,RxCUI_448;455;
588,RxCUI_203212
589,RxCUI_1243012
590,RxCUI_1592254
591,RxCUI_1659811
592,RxCUI_898687
593,RxCUI_311486
594,RxCUI_198013
595,RxCUI_316407
596,RxCUI_1659815
597,RxCUI_199247
598,RxCUI_1368451
599,RxCUI_809477
600,RxCUI_1294605
601,RxCUI_1049502;1049683;
602,RxCUI_197582
603,RxCUI_283672
604,RxCUI_859419
605,RxCUI_860886
606,RxCUI_477560
607,RxCUI_636045
608,RxCUI_1738511;1738527;1738534;
609,RxCUI_979492
610,RxCUI_855926
611,RxCUI_487066
612,RxCUI_1649425;1649429;
613,RxCUI_863669
614,RxCUI_643107
615,RxCUI_1547116
616,RxCUI_1871464
617,RxCUI_253182
618,RxCUI_198437
619,RxCUI_905225
620,RxCUI_312087
621,RxCUI_8591
622,RxCUI_473387
623,RxCUI_36676
624,RxCUI_199246
625,RxCUI_616289
626,RxCUI_1369775
627,RxCUI_979092
628,RxCUI_483446
629,RxCUI_1426874
630,RxCUI_1100999
631,RxCUI_26180
632,RxCUI_197701
633,RxCUI_1487074
634,RxCUI_1364484
635,RxCUI_1364492
636,RxCUI_1648770
637,RxCUI_1648778
638,RxCUI_855194
639,RxCUI_855318
640,RxCUI_1876713;310798;
641,RxCUI_198040
642,RxCUI_861424
643,RxCUI_349287
644,RxCUI_242461
645,RxCUI_197839
646,RxCUI_1876765;313096;
647,RxCUI_198024
648,RxCUI_349199
649,RxCUI_1190572
650,RxCUI_197500
651,RxCUI_1648774
652,RxCUI_665033
653,RxCUI_351254
654,RxCUI_1811180
655,RxCUI_197884
656,RxCUI_1812011;1812030;198034;
657,RxCUI_866427
658,RxCUI_483448
659,RxCUI_139825
660,RxCUI_198223
661,RxCUI_1599555
662,RxCUI_1308428
663,RxCUI_1370976
664,RxCUI_197887
665,RxCUI_197579
666,RxCUI_897640
667,RxCUI_833202
668,RxCUI_259081
669,RxCUI_966793
670,RxCUI_310490
671,RxCUI_1871462
672,RxCUI_744842
673,RxCUI_142113
674,RxCUI_1364360
675,RxCUI_313413
676,RxCUI_313412
677,RxCUI_997420
678,RxCUI_1049670
679,RxCUI_995281
680,RxCUI_6470
681,RxCUI_236216;998038;
682,RxCUI_859975
683,RxCUI_902736
684,RxCUI_312136
685,RxCUI_198357
686,RxCUI_1193359
687,RxCUI_199889
688,RxCUI_312079
689,RxCUI_1801289;993518;993541;
690,RxCUI_248642
691,RxCUI_313564
692,RxCUI_197316
693,RxCUI_705022
694,RxCUI_886666
695,RxCUI_886662
696,RxCUI_1147334
697,RxCUI_836641
698,RxCUI_197658;978948;
699,RxCUI_29365
700,RxCUI_1439812
701,RxCUI_401938
702,RxCUI_1099687
703,RxCUI_403967
704,RxCUI_197739
705,RxCUI_21241
706,RxCUI_314231
707,RxCUI_833213
708,RxCUI_351256
709,RxCUI_151226
710,RxCUI_205285
711,RxCUI_59763
712,RxCUI_1652669
713,RxCUI_198211
714,RxCUI_483442
715,RxCUI_19254
716,RxCUI_864718
717,RxCUI_198142
718,RxCUI_197806
719,RxCUI_1603367
720,RxCUI_1425112
721,RxCUI_198428
722,RxCUI_1738503;1738523;1738533;
723,RxCUI_10767
724,RxCUI_37859
725,RxCUI_317451
726,RxCUI_200060
727,RxCUI_1547573
728,RxCUI_1812013;1812026;198035;
729,RxCUI_577776
730,RxCUI_477562
731,RxCUI_310261
732,RxCUI_1924313
733,RxCUI_1545164
734,RxCUI_1871460
735,RxCUI_858817
736,RxCUI_1372704
737,RxCUI_1300801
738,RxCUI_197659
739,RxCUI_405797
740,RxCUI_403810
741,RxCUI_1876661;833528;
742,RxCUI_1303132
743,RxCUI_1433693
744,RxCUI_672571
745,RxCUI_1439850
746,RxCUI_358257
747,RxCUI_849827
748,RxCUI_199047
749,RxCUI_1087964
750,RxCUI_72616
751,RxCUI_197558
752,RxCUI_197304
753,RxCUI_1049563;1049686;
754,RxCUI_1348
755,RxCUI_1291859
756,RxCUI_311671
757,RxCUI_242438
758,RxCUI_35302
759,RxCUI_860221
760,RxCUI_1923430
761,RxCUI_312830
762,RxCUI_1815
763,RxCUI_845507
764,RxCUI_349477
765,RxCUI_330321
766,RxCUI_5552
767,RxCUI_307650
768,RxCUI_199422
769,RxCUI_1095712
770,RxCUI_205290
771,RxCUI_330786
772,RxCUI_1738483;1738515;1738531;
773,RxCUI_11413
774,RxCUI_310539
775,RxCUI_312938
776,RxCUI_351261
777,RxCUI_198193
778,RxCUI_328463
779,RxCUI_314228
780,RxCUI_860532
781,RxCUI_311725
782,RxCUI_1000070
783,RxCUI_311196
784,RxCUI_316030
785,RxCUI_199663
786,RxCUI_630734;748798;
787,RxCUI_992432
788,RxCUI_198052
789,RxCUI_316915
790,RxCUI_1722932
791,RxCUI_616483
792,RxCUI_312745
793,RxCUI_310537
794,RxCUI_1045406
795,RxCUI_197380
796,RxCUI_200172
797,RxCUI_197517
798,RxCUI_402247
799,RxCUI_199524
800,RxCUI_1471857
801,RxCUI_237160
802,RxCUI_855288
803,RxCUI_314203
804,RxCUI_197699
805,RxCUI_856739
806,RxCUI_197466
807,RxCUI_993687
808,RxCUI_904936
809,RxCUI_562508
810,RxCUI_199703
811,RxCUI_307732
812,RxCUI_330037
813,RxCUI_1294537
814,RxCUI_577348
815,RxCUI_402109
816,RxCUI_859863
817,RxCUI_828576
818,RxCUI_311289
819,RxCUI_476351
820,RxCUI_311347
821,RxCUI_339270
822,RxCUI_828581
823,RxCUI_905083
824,RxCUI_199376
825,RxCUI_155323
826,RxCUI_267396
827,RxCUI_866094
828,RxCUI_1654390;905024;
829,RxCUI_198108
830,RxCUI_1126671;1650142;1650143;1670189;
831,RxCUI_197312
832,RxCUI_197943
833,RxCUI_897590
834,RxCUI_10753
835,RxCUI_996824
836,RxCUI_596929
837,RxCUI_349321
838,RxCUI_1232584
839,RxCUI_1442128
840,RxCUI_10379
841,RxCUI_25120
842,RxCUI_4462
843,RxCUI_309097
844,RxCUI_349200
845,RxCUI_197626
846,RxCUI_197698
847,RxCUI_11516
848,RxCUI_199884
849,RxCUI_311988
850,RxCUI_432402
851,RxCUI_199381
852,RxCUI_199519
853,RxCUI_979471
854,RxCUI_810077
855,RxCUI_858733
856,RxCUI_802749
857,RxCUI_197379
858,RxCUI_197446
859,RxCUI_352362;392643;
860,RxCUI_1294569
861,RxCUI_1014678
862,RxCUI_1740440
863,RxCUI_197397
864,RxCUI_995218
865,RxCUI_1648755
866,RxCUI_4491
867,RxCUI_5293
868,RxCUI_236599
869,RxCUI_309683
870,RxCUI_312743
871,RxCUI_198429
872,RxCUI_855178
873,RxCUI_311995
874,RxCUI_359145
875,RxCUI_197819
876,RxCUI_203133
877,RxCUI_2177
878,RxCUI_898359
879,RxCUI_884189
880,RxCUI_904475
881,RxCUI_904419
882,RxCUI_197426
883,RxCUI_282357
884,RxCUI_808744
885,RxCUI_322154
886,RxCUI_1726269
887,RxCUI_310433
888,RxCUI_197700
889,RxCUI_197958
890,RxCUI_197627
891,RxCUI_1001432
892,RxCUI_35829
893,RxCUI_312860
894,RxCUI_904932
895,RxCUI_4179
896,RxCUI_1729367
897,RxCUI_214559
898,RxCUI_977939
899,RxCUI_309309
900,RxCUI_282443
901,RxCUI_198314
902,RxCUI_205326
903,RxCUI_1876734;897696;
904,RxCUI_483450
905,RxCUI_483420
906,RxCUI_311666
907,RxCUI_728225
908,RxCUI_214967;48274;
909,RxCUI_200194
910,RxCUI_1359126;1359127;
911,RxCUI_240093
912,RxCUI_153823
913,RxCUI_198286
914,RxCUI_310015
915,RxCUI_200094
916,RxCUI_1922765;1922953;1923426;
917,RxCUI_1435624
918,RxCUI_82027
919,RxCUI_314135
920,RxCUI_1043143
921,RxCUI_904396
922,RxCUI_1091836
923,RxCUI_639537
924,RxCUI_316385
925,RxCUI_1488569
926,RxCUI_1011736
927,RxCUI_1876717;863664;
928,RxCUI_21250
929,RxCUI_722289
930,RxCUI_203129
931,RxCUI_1665096
932,RxCUI_724861
933,RxCUI_724859
934,RxCUI_400008
935,RxCUI_283417
936,RxCUI_995258
937,RxCUI_991528
938,RxCUI_313159
939,RxCUI_1663180
940,RxCUI_833144
941,RxCUI_204451
942,RxCUI_1670021
943,RxCUI_248109
944,RxCUI_1102132
945,RxCUI_1550957
946,RxCUI_197844
947,RxCUI_1375948
948,RxCUI_825409
949,RxCUI_1148803
950,RxCUI_1439831
951,RxCUI_1870193
952,RxCUI_310599
953,RxCUI_1670316
954,RxCUI_250535
955,RxCUI_1597587
956,RxCUI_197313
957,RxCUI_1992
958,RxCUI_486417
959,RxCUI_5657
960,RxCUI_901814
961,RxCUI_91110
962,RxCUI_1602118
963,RxCUI_866419
964,RxCUI_995632;995666;
965,RxCUI_1370750
966,RxCUI_312861
967,RxCUI_834235
968,RxCUI_1425854
969,RxCUI_1869697
970,RxCUI_317128
971,RxCUI_1819
972,RxCUI_476809
973,RxCUI_259275
974,RxCUI_1421452
975,RxCUI_1621
976,RxCUI_1306292
977,RxCUI_854868
978,RxCUI_1486687
979,RxCUI_308709
980,RxCUI_1242992
981,RxCUI_36118
982,RxCUI_608143
983,RxCUI_349594
984,RxCUI_884617
985,RxCUI_1858830
986,RxCUI_826919
987,RxCUI_309955
988,RxCUI_389242
989,RxCUI_1373463
990,RxCUI_1482908
991,RxCUI_205322
992,RxCUI_349208
993,RxCUI_903703
994,RxCUI_1294580
995,RxCUI_197863
996,RxCUI_1421151
997,RxCUI_199420
998,RxCUI_310991
999,RxCUI_310273
1000,RxCUI_198144
1001,RxCUI_6902
1002,RxCUI_328161
1003,RxCUI_828706
1004,RxCUI_1734915
1005,RxCUI_1373391
1006,RxCUI_996609
1007,RxCUI_89013
1008,RxCUI_311877
1009,RxCUI_311893
1010,RxCUI_1245262
1011,RxCUI_197853
1012,RxCUI_197418
1013,RxCUI_1546888
1014,RxCUI_904467
1015,RxCUI_402019
1016,RxCUI_2447
1017,RxCUI_24909
1018,RxCUI_351257
1019,RxCUI_82118
1020,RxCUI_310982
1021,RxCUI_141625
1022,RxCUI_1298870
1023,RxCUI_197805
1024,RxCUI_1297757
1025,RxCUI_1297278
1026,RxCUI_705862
1027,RxCUI_856853
1028,RxCUI_1101338
1029,RxCUI_313762
1030,RxCUI_198191
1031,RxCUI_577127
1032,RxCUI_665038
1033,RxCUI_643105
1034,RxCUI_1442116
1035,RxCUI_1868014
1036,RxCUI_1359269
1037,RxCUI_855189
1038,RxCUI_996571
1039,RxCUI_358339
1040,RxCUI_197815
1041,RxCUI_312940
1042,RxCUI_266573
1043,RxCUI_905521
1044,RxCUI_1307404
1045,RxCUI_349514
1046,RxCUI_1668262
1047,RxCUI_198287
1048,RxCUI_979480
1049,RxCUI_261716
1050,RxCUI_359494
1051,RxCUI_810000
1052,RxCUI_1739780
1053,RxCUI_1433233
1054,RxCUI_1433227
1055,RxCUI_1439840
1056,RxCUI_855332
1057,RxCUI_198012
1058,RxCUI_1433239
1059,RxCUI_860918
1060,RxCUI_313990
1061,RxCUI_1364454
1062,RxCUI_314092
1063,RxCUI_33747
1064,RxCUI_901805
1065,RxCUI_1490065
1066,RxCUI_1607617
1067,RxCUI_1377831
1068,RxCUI_103990
1069,RxCUI_1487512
1070,RxCUI_197536
1071,RxCUI_1790173
1072,RxCUI_897649
1073,RxCUI_814394;994235;
1074,RxCUI_309329
1075,RxCUI_314142
1076,RxCUI_1040054
1077,RxCUI_994008
1078,RxCUI_996561
1079,RxCUI_1000141
1080,RxCUI_1597616
1081,RxCUI_1433873
1082,RxCUI_1600704
1083,RxCUI_309371
1084,RxCUI_349435
1085,RxCUI_284215
1086,RxCUI_315752
1087,RxCUI_197816
1088,RxCUI_328787
1089,RxCUI_476679
1090,RxCUI_749206
1091,RxCUI_314238
1092,RxCUI_312831
1093,RxCUI_310459
1094,RxCUI_477367
1095,RxCUI_310818
1096,RxCUI_253170
1097,RxCUI_4850
1098,RxCUI_106558
1099,RxCUI_27781
1100,RxCUI_484814
1101,RxCUI_751612
1102,RxCUI_1049599;1860148;
1103,RxCUI_312440
1104,RxCUI_835568
1105,RxCUI_35406
1106,RxCUI_313979
1107,RxCUI_855642
1108,RxCUI_197433
1109,RxCUI_607553
1110,RxCUI_891874
1111,RxCUI_577237
1112,RxCUI_1049580
1113,RxCUI_1655427
1114,RxCUI_3254
1115,RxCUI_433718
1116,RxCUI_312255
1117,RxCUI_136561
1118,RxCUI_1724153
1119,RxCUI_314111
1120,RxCUI_236234
1121,RxCUI_26237
1122,RxCUI_198313
1123,RxCUI_309098
1124,RxCUI_19711
1125,RxCUI_1654365
1126,RxCUI_1086772
1127,RxCUI_1424916
1128,RxCUI_68173
1129,RxCUI_351264
1130,RxCUI_258337
1131,RxCUI_855945
1132,RxCUI_855882
1133,RxCUI_483444
1134,RxCUI_197787
1135,RxCUI_1000146
1136,RxCUI_312347
1137,RxCUI_197553;835894;
1138,RxCUI_197841
1139,RxCUI_1304093
1140,RxCUI_198008
1141,RxCUI_824295
1142,RxCUI_824301
1143,RxCUI_1000064
1144,RxCUI_1484289
1145,RxCUI_862025
1146,RxCUI_312962
1147,RxCUI_142446
1148,RxCUI_311726
1149,RxCUI_351265
1150,RxCUI_794639
1151,RxCUI_198239
1152,RxCUI_476576
1153,RxCUI_1099563
1154,RxCUI_238019;899089;
1155,RxCUI_199315
1156,RxCUI_1664315
1157,RxCUI_3255
1158,RxCUI_825427
1159,RxCUI_308724
1160,RxCUI_904870
1161,RxCUI_1876738;856364;
1162,RxCUI_200258
1163,RxCUI_312593
1164,RxCUI_199690
1165,RxCUI_858813
1166,RxCUI_730794
1167,RxCUI_283753
1168,RxCUI_1701280
1169,RxCUI_1049909
1170,RxCUI_311171
1171,RxCUI_1492740
1172,RxCUI_996603
1173,RxCUI_309370
1174,RxCUI_1049618
1175,RxCUI_353107
1176,RxCUI_18631
1177,RxCUI_1012015
1178,RxCUI_52177
1179,RxCUI_1000912
1180,RxCUI_197628
1181,RxCUI_251872
1182,RxCUI_858747
1183,RxCUI_809992
1184,RxCUI_308177
1185,RxCUI_37075
1186,RxCUI_1243846
1187,RxCUI_283550
1188,RxCUI_309637
1189,RxCUI_1654357
1190,RxCUI_349592
1191,RxCUI_1863370
1192,RxCUI_310194
1193,RxCUI_1806884
1194,RxCUI_1244214
1195,RxCUI_687198
1196,RxCUI_197383
